,Country,Sustainable Competitiveness Rank ,Sustainable Competitiveness Score,Natural capital Rank ,Natural capital Score,Resource Intensity Rank ,Resource Intensity Score,Social Capital Rank ,Social Capital Score,Intellectual Capital Rank ,Intellectual Capital Score,Governance Rank ,Governance Score,,
,Sweden,1,61.2,15,60.2,18,58.0,3,62.4,4,67.9,49,57.6,,
,Finland,2,60.7,17,59.8,67,50.6,4,62.3,10,64.3,4,66.3,,
,Switzerland,3,60.4,38,55.4,4,61.8,12,59.8,12,62.7,20,62.2,,
,Denmark,4,60.2,45,53.2,24,56.4,9,60.4,5,66.8,11,64.0,,
,Norway,5,59.8,8,62.5,80,48.9,2,63.5,9,64.4,33,59.9,,
,Iceland,6,59.8,6,65.2,120,43.0,1,64.1,13,62.5,9,64.1,,
,Ireland,7,57.6,56,51.4,19,57.7,24,55.8,32,51.2,2,71.7,,
,France,8,56.8,41,54.2,20,57.3,26,55.4,17,58.7,44,58.3,,
,Austria,9,56.6,65,49.1,68,50.3,6,60.7,18,58.7,10,64.0,,
,Germany,10,56.6,78,46.2,52,52.3,19,56.1,11,63.2,5,65.0,,
,Estonia,11,56.1,73,48.1,116,43.8,8,60.4,27,54.9,1,73.2,,
,Liechtenstein,12,56.0,71,48.1,41,53.9,25,55.4,20,58.1,8,64.2,,
,Japan,13,55.3,112,40.6,92,47.7,15,58.2,7,65.3,6,64.7,,
,Croatia,14,55.1,11,61.4,99,47.0,29,54.5,40,49.1,15,63.6,,
,New Zealand,15,54.9,14,60.2,97,47.2,20,56.0,49,46.9,7,64.4,,
,Portugal,16,54.8,64,49.5,84,48.6,14,59.4,25,55.5,26,60.9,,
,United Kingdom,17,54.6,129,38.6,8,61.0,46,51.2,6,66.6,62,55.7,,
,Slovenia,18,54.3,72,48.1,128,41.7,7,60.5,21,57.5,14,63.7,,
,Luxembourg,19,53.9,55,51.5,73,49.8,10,59.8,52,46.0,18,62.5,,
,Netherlands,20,53.9,103,41.4,71,50.1,17,57.9,15,60.3,34,59.7,,
,South Korea,21,53.9,139,37.0,153,34.1,13,59.6,1,77.8,27,60.8,,
,Latvia,22,53.5,30,57.6,88,47.9,44,51.4,44,48.1,17,62.6,,
,Slovakia,23,53.1,58,51.0,110,44.9,21,56.0,29,52.8,29,60.7,,
,Belgium,24,53.0,141,36.9,86,48.0,5,61.2,19,58.5,31,60.4,,
,Lithuania,25,53.0,48,52.6,76,49.7,38,53.4,36,50.0,36,59.3,,
,Czech Republic,26,52.9,111,40.7,127,41.7,18,56.7,23,55.7,3,69.7,,
,Spain,27,52.7,66,49.0,74,49.8,22,56.0,53,45.3,13,63.7,,
,Costa Rica,28,52.4,49,52.6,14,59.0,54,49.7,54,45.3,64,55.4,,
,Romania,29,52.3,40,54.7,40,54.0,36,53.5,98,38.7,25,60.9,,
,USA,30,52.0,39,54.9,112,44.8,95,42.5,8,65.0,86,53.0,,
,Malta,31,51.7,84,45.1,87,48.0,35,53.5,43,48.5,16,63.4,,
,Italy,32,51.7,90,44.2,57,51.4,28,54.6,34,50.5,48,57.7,,
,China,33,51.4,134,38.0,150,36.1,32,53.8,2,71.1,45,58.2,,
,Uruguay,34,51.3,12,60.6,7,61.1,80,44.6,115,35.7,74,54.3,,
,Poland,35,51.2,77,46.2,143,38.2,33,53.7,26,55.5,19,62.3,,
,Hungary,36,50.8,82,45.5,95,47.4,76,45.8,22,56.3,38,59.1,,
,Canada,37,50.6,31,57.4,134,40.2,43,51.7,24,55.6,121,48.3,,
,Chile,38,50.4,24,58.3,109,45.0,68,47.5,50,46.7,72,54.4,,
,Peru,39,50.3,10,62.4,72,49.9,71,46.2,82,40.1,87,52.9,,
,Albania,40,49.9,21,59.0,79,49.0,64,48.2,77,40.6,88,52.8,,
,Serbia,41,49.7,25,58.2,162,31.3,37,53.4,56,45.2,30,60.5,,
,Greece,42,49.6,87,44.7,114,44.7,48,50.7,35,50.3,47,57.8,,
,Mauritius,43,49.6,81,45.6,100,46.7,69,47.3,38,49.4,41,58.9,,
,Bulgaria,44,49.6,51,51.9,145,37.8,56,49.0,47,47.4,24,61.7,,
,Paraguay,45,49.5,3,68.1,83,48.7,97,42.2,123,33.4,65,55.4,,
,Bhutan,46,49.4,13,60.6,139,39.1,59,48.8,74,41.6,57,56.8,,
,Australia,47,49.3,61,50.6,117,43.3,31,54.1,61,44.1,69,54.6,,
,Singapore,48,49.3,172,29.1,154,33.8,16,58.2,3,69.3,59,56.2,,
,Bolivia,49,49.3,4,67.9,107,45.6,88,43.7,68,42.9,128,46.1,,
,Russia,50,49.2,27,58.1,171,27.6,87,43.7,16,59.7,53,57.1,,
,Ecuador,51,49.1,29,57.9,91,47.8,63,48.4,79,40.5,97,50.8,,
,Brazil,52,48.8,7,64.1,65,50.7,128,37.8,28,53.1,165,38.3,,
